Exch,Client Code,Scrip Name,Trade Qty,Trade Price,Buy/Sell,Trade Date Time,Algo Id,Order Initiator ID,Strike Price,Expiry,Option Type,Trade No,Symbol
NSEFO,OMDPCG01,ASHOKLEY 29-Dec-2022 CE 165,5000,0.4,B,08-Dec-2022 13:43:31,0,OMDPCG01,165,29-12-2022,CE,975410723,ASHOKLEY
NSEFO,OMDPCG01,ASHOKLEY 29-Dec-2022 CE 167.5,5000,0.3,B,08-Dec-2022 13:43:33,0,OMDPCG01,167.5,29-12-2022,CE,975410733,ASHOKLEY
NSEFO,OMDPCG01,ASHOKLEY 29-Dec-2022 CE 170,5000,0.25,B,08-Dec-2022 13:43:35,0,OMDPCG01,170,29-12-2022,CE,975410737,ASHOKLEY
NSEFO,OMDPCG01,BANKNIFTY 08-Dec-2022 CE 43400,25,67.7,S,08-Dec-2022 10:36:18,0,OMDPCG01,43400,08-12-2022,CE,434280712,BANKNIFTY
NSEFO,OMDPCG01,BANKNIFTY 08-Dec-2022 CE 43500,25,36.45,S,08-Dec-2022 10:36:35,0,OMDPCG01,43500,08-12-2022,CE,520195259,BANKNIFTY
NSEFO,OMDPCG01,BANKNIFTY 08-Dec-2022 CE 43500,25,38.4,B,08-Dec-2022 10:35:08,0,OMDPCG01,43500,08-12-2022,CE,520151867,BANKNIFTY
NSEFO,OMDPCG01,BANKNIFTY 08-Dec-2022 CE 43500,25,35,S,08-Dec-2022 10:36:16,0,OMDPCG01,43500,08-12-2022,CE,520187166,BANKNIFTY
NSEFO,OMDPCG01,BHARATFORG 29-Dec-2022 PE 730,1000,0.9,B,08-Dec-2022 14:48:34,0,OMDPCG01,730,29-12-2022,PE,860413913,BHARATFORG
NSEFO,OMDPCG01,BHARATFORG 29-Dec-2022 PE 730,1000,0.9,B,08-Dec-2022 14:48:34,0,OMDPCG01,730,29-12-2022,PE,860413914,BHARATFORG
NSEFO,OMDPCG01,DABUR 29-Dec-2022 PE 540,1250,0.55,B,08-Dec-2022 15:21:43,0,OMDPCG01,540,29-12-2022,PE,906212929,DABUR
NSEFO,OMDPCG01,GLENMARK 29-Dec-2022 CE 500,1150,0.65,B,08-Dec-2022 13:53:50,0,OMDPCG01,500,29-12-2022,CE,975416219,GLENMARK
NSEFO,OMDPCG01,HAL 29-Dec-2022 CE 3150,475,6.6,B,08-Dec-2022 14:56:52,0,OMDPCG01,3150,29-12-2022,CE,952466891,HAL
NSEFO,OMDPCG01,HAL 29-Dec-2022 CE 3150,475,6.6,B,08-Dec-2022 14:56:52,0,OMDPCG01,3150,29-12-2022,CE,952466890,HAL
NSEFO,OMDPCG01,HAL 29-Dec-2022 CE 3150,475,6.6,B,08-Dec-2022 14:56:52,0,OMDPCG01,3150,29-12-2022,CE,952466892,HAL
NSEFO,OMDPCG01,HAL 29-Dec-2022 PE 2000,475,0.9,B,08-Dec-2022 14:26:44,0,OMDPCG01,2000,29-12-2022,PE,952436689,HAL
NSEFO,OMDPCG01,HAL 29-Dec-2022 PE 2000,475,0.9,B,08-Dec-2022 15:05:25,0,OMDPCG01,2000,29-12-2022,PE,952478697,HAL
NSEFO,OMDPCG01,HAL 29-Dec-2022 PE 2000,475,0.9,B,08-Dec-2022 14:21:01,0,OMDPCG01,2000,29-12-2022,PE,952429189,HAL
NSEFO,OMDPCG01,HINDALCO 29-Dec-2022 PE 400,1075,0.65,B,08-Dec-2022 15:16:56,0,OMDPCG01,400,29-12-2022,PE,952497475,HINDALCO
NSEFO,OMDPCG01,HINDALCO 29-Dec-2022 PE 400,1075,0.65,B,08-Dec-2022 15:25:46,0,OMDPCG01,400,29-12-2022,PE,952512600,HINDALCO
NSEFO,OMDPCG01,HINDALCO 29-Dec-2022 PE 400,1075,0.65,B,08-Dec-2022 15:25:46,0,OMDPCG01,400,29-12-2022,PE,952512601,HINDALCO
NSEFO,OMDPCG01,IGL 29-Dec-2022 CE 495,1375,1.55,S,08-Dec-2022 10:41:43,0,OMDPCG01,495,29-12-2022,CE,929165286,IGL
NSEFO,OMDPCG01,IGL 29-Dec-2022 CE 495,1375,1.5,S,08-Dec-2022 10:42:42,0,OMDPCG01,495,29-12-2022,CE,929166603,IGL
NSEFO,OMDPCG01,IGL 29-Dec-2022 CE 495,1375,1.55,S,08-Dec-2022 10:42:02,0,OMDPCG01,495,29-12-2022,CE,929165637,IGL
NSEFO,OMDPCG01,IGL 29-Dec-2022 CE 495,1375,1.55,S,08-Dec-2022 10:42:08,0,OMDPCG01,495,29-12-2022,CE,929165711,IGL
NSEFO,OMDPCG01,IGL 29-Dec-2022 CE 510,1375,1.05,B,08-Dec-2022 13:48:08,0,OMDPCG01,510,29-12-2022,CE,929337802,IGL
NSEFO,OMDPCG01,LAURUSLABS 29-Dec-2022 CE 500,900,0.55,B,08-Dec-2022 15:27:34,0,OMDPCG01,500,29-12-2022,CE,860482718,LAURUSLABS
